sr,name,docstatus,item_code,item_name,warehouse,creation,modified,_user_tags
37,FZ324060021235,0,110110006,DECO IP ANDROID 4K HP44H SERIAL,,2025-06-09 14:29:00.729182,2025-06-23 14:45:38.928072,
38,FZ324060021234,0,110110006,DECO IP ANDROID 4K HP44H SERIAL,,2025-06-09 14:29:00.775909,2025-06-23 14:45:38.912892,
39,48575443D100AAB0,0,140111365,ONT GPON  WIFI 6 2X2  STD.C/ACC.SERIAL,,2025-06-17 16:09:53.653740,2025-06-23 14:45:38.868345,
40,48575443D0FE24B0,0,140111365,ONT GPON  WIFI 6 2X2  STD.C/ACC.SERIAL,,2025-06-17 16:09:53.472511,2025-06-23 14:45:38.854397,
41,48575443D0FDC8B0,0,140111365,ONT GPON  WIFI 6 2X2  STD.C/ACC.SERIAL,,2025-06-17 16:09:53.351970,2025-06-23 14:45:38.839995,
42,48575443D0FD61B0,0,140111365,ONT GPON  WIFI 6 2X2  STD.C/ACC.SERIAL,,2025-06-17 16:09:51.145343,2025-06-23 14:45:38.823815,
43,48575443D0FD3DB0,0,140111365,ONT GPON  WIFI 6 2X2  STD.C/ACC.SERIAL,,2025-06-17 16:09:53.591124,2025-06-23 14:45:38.808555,
44,48575443D0FBDAB0,0,140111365,ONT GPON  WIFI 6 2X2  STD.C/ACC.SERIAL,,2025-06-17 16:09:53.553318,2025-06-23 14:45:38.793861,
45,48575443D0F9BEB0,0,140111365,ONT GPON  WIFI 6 2X2  STD.C/ACC.SERIAL,,2025-06-17 16:09:51.891878,2025-06-23 14:45:38.777718,
46,ALCLB260FF01,0,140110075,ONT GPON WIFI-N SAGEMCOM F@ST5657 SERIAL,,2025-06-23 14:42:49.857081,2025-06-23 14:45:38.732291,
47,48575443D83D6BAC,0,140110075,ONT GPON WIFI-N SAGEMCOM F@ST5657 SERIAL,,2025-06-09 14:28:59.018294,2025-06-23 14:45:38.717297,
48,48575443C22CE1AC,0,140110075,ONT GPON WIFI-N SAGEMCOM F@ST5657 SERIAL,,2025-06-09 14:28:58.853477,2025-06-23 14:45:38.701789,
49,4857544377D0DBAA,0,140110075,ONT GPON WIFI-N SAGEMCOM F@ST5657 SERIAL,,2025-06-09 14:28:58.949009,2025-06-23 14:45:38.685384,
50,48575443592A9FAC,0,140110075,ONT GPON WIFI-N SAGEMCOM F@ST5657 SERIAL,,2025-06-09 14:28:58.720869,2025-06-23 14:45:38.664818,
51,FZ324060106987,0,110110006,DECO IP ANDROID 4K HP44H SERIAL,,2025-06-23 13:43:33.224337,2025-06-23 13:46:34.990605,
52,FZ324060106972,0,110110006,DECO IP ANDROID 4K HP44H SERIAL,,2025-06-23 13:43:33.194817,2025-06-23 13:46:34.972468,
53,FZ324060106951,0,110110006,DECO IP ANDROID 4K HP44H SERIAL,,2025-06-23 13:43:33.167292,2025-06-23 13:46:34.953471,
54,FZ324060106940,0,110110006,DECO IP ANDROID 4K HP44H SERIAL,,2025-06-23 13:43:33.139628,2025-06-23 13:46:34.935187,
55,FZ324060106922,0,110110006,DECO IP ANDROID 4K HP44H SERIAL,,2025-06-23 13:43:33.113720,2025-06-23 13:46:34.917198,
56,FZ324060106916,0,110110006,DECO IP ANDROID 4K HP44H SERIAL,,2025-06-23 13:43:33.087910,2025-06-23 13:46:34.899559,
57,FZ324060106901,0,110110006,DECO IP ANDROID 4K HP44H SERIAL,,2025-06-23 13:43:33.057175,2025-06-23 13:46:34.881577,
58,FZ324060106872,0,110110006,DECO IP ANDROID 4K HP44H SERIAL,,2025-06-23 13:43:33.031758,2025-06-23 13:46:34.861782,
59,FZ324060106033,0,110110006,DECO IP ANDROID 4K HP44H SERIAL,,2025-06-23 13:43:33.006197,2025-06-23 13:46:34.842770,
60,FZ324060106010,0,110110006,DECO IP ANDROID 4K HP44H SERIAL,,2025-06-23 13:43:32.979137,2025-06-23 13:46:34.823798,
61,FZ324060106006,0,110110006,DECO IP ANDROID 4K HP44H SERIAL,,2025-06-23 13:43:32.950332,2025-06-23 13:46:34.802968,
62,FZ324060105994,0,110110006,DECO IP ANDROID 4K HP44H SERIAL,,2025-06-23 13:43:32.923929,2025-06-23 13:46:34.783938,
63,FZ324060105950,0,110110006,DECO IP ANDROID 4K HP44H SERIAL,,2025-06-23 13:43:32.891514,2025-06-23 13:46:34.764273,
64,FZ324060105944,0,110110006,DECO IP ANDROID 4K HP44H SERIAL,,2025-06-23 13:43:32.864941,2025-06-23 13:46:34.745856,
65,FZ324060105886,0,110110006,DECO IP ANDROID 4K HP44H SERIAL,,2025-06-23 13:43:32.838478,2025-06-23 13:46:34.729055,
66,FZ324060105606,0,110110006,DECO IP ANDROID 4K HP44H SERIAL,,2025-06-23 13:43:32.808998,2025-06-23 13:46:34.709680,
67,FZ324060105471,0,110110006,DECO IP ANDROID 4K HP44H SERIAL,,2025-06-23 13:43:32.783441,2025-06-23 13:46:34.689500,
